PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,GameDate
20.0,2025-02-14,18:48:20.51,1.0,1.0,"Alekson, Ben",10138563.0,Right,FAI_STA,"Dempsey, Evan",1000115341.0,Left,FGCU,Undefined,1,Bottom,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.2423,-0.643886,-0.999351,2085.697287,227.258103,1:30,5.81387,0.97786,4.84886,-20.05911,15.39324,15.50918,3.53261,1.32414,82.87679,-4.346397,1.731036,0.428542,,,,,,,,,,,,-7.89871,8.07351,-0.89312,50.0,5.7337,1.53874,-130.98943,-2.22624,-13.81477,25.94839,-18.05358,FGCU,FAI_STA,SwansonStadium,D1,ASUN,20250214-SwansonStadium-1,2bfe16f0-eb2e-11ef-9e21-8be5a8f722aa,87.95496,,,7.36551,,,,,,,d265b4ba-4a13-4882-991f-8ca5b7697597,2025-02-14,23:48:20.51,2025-02-14T18:48:20.5142528-05:00,2025-02-14T23:48:20.5142528Z,,v3,4964,471291,14 February 2025 18:30-fairfield@flgulfcst,"Kuczik, JP",10033673.0,Right,FAI_STA,f116e4e9-42a1-482a-85b0-b817a5963eb4,55.6495,-132.10383,12.9742,5.81267,-1.4509,-9.02679,-0.97195,2.13204,-6.90739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,2025-02-15
21.0,2025-02-14,18:48:36.16,1.0,2.0,"Alekson, Ben",10138563.0,Right,FAI_STA,"Dempsey, Evan",1000115341.0,Left,FGCU,Undefined,1,Bottom,0,1,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.47159,0.749174,0.19762,2001.454003,222.057574,1:30,5.76727,0.89682,4.81966,-22.48816,14.50001,12.08166,4.60291,2.09081,81.05772,-3.395023,2.322603,0.437727,,,,,,,,,,,,-5.88748,7.27244,-0.9274,50.0,5.82281,-1.01621,-128.38612,0.83421,-9.87495,25.35633,-19.97613,FGCU,FAI_STA,SwansonStadium,D1,ASUN,20250214-SwansonStadium-1,354f09d0-eb2e-11ef-9e21-8be5a8f722aa,86.10954,,,7.41387,,,,,,,d265b4ba-4a13-4882-991f-8ca5b7697597,2025-02-14,23:48:36.16,2025-02-14T18:48:36.1632256-05:00,2025-02-14T23:48:36.1632256Z,,v3,4964,471291,14 February 2025 18:30-fairfield@flgulfcst,"Kuczik, JP",10033673.0,Right,FAI_STA,26402a7b-e857-4066-bd89-654a207201a1,55.6778,-129.50263,12.67816,5.76671,1.71382,-9.98806,-0.89222,-0.58138,-4.93747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,2025-02-15
22.0,2025-02-14,18:48:53.30,1.0,3.0,"Alekson, Ben",10138563.0,Right,FAI_STA,"Dempsey, Evan",1000115341.0,Left,FGCU,Undefined,1,Bottom,0,2,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.63645,-0.712957,-1.035283,1990.240719,231.699263,1:45,5.69452,0.91186,4.86857,-24.37623,12.25619,14.16745,2.98833,1.11266,81.68891,-5.171995,1.460552,0.435616,,,,,,,,,,,,-7.25193,6.5528,-0.82263,50.0,5.60403,1.66037,-128.69627,-2.53937,-12.27486,24.39973,-21.08255,FGCU,FAI_STA,SwansonStadium,D1,ASUN,20250214-SwansonStadium-1,3f907730-eb2e-11ef-9e21-8be5a8f722aa,86.52671,,,6.94754,,,,,,,d265b4ba-4a13-4882-991f-8ca5b7697597,2025-02-14,23:48:53.30,2025-02-14T18:48:53.3068288-05:00,2025-02-14T23:48:53.3068288Z,,v3,4964,471291,14 February 2025 18:30-fairfield@flgulfcst,"Kuczik, JP",10033673.0,Right,FAI_STA,7d3f5283-f165-486c-a17e-1130910ebe04,55.63012,-129.75931,12.19987,5.69465,-1.62086,-10.54128,-0.90662,2.19516,-6.13743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,2025-02-15
23.0,2025-02-14,18:49:12.62,1.0,4.0,"Alekson, Ben",10138563.0,Right,FAI_STA,"Dempsey, Evan",1000115341.0,Left,FGCU,Undefined,1,Bottom,0,2,1,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,88.99834,-0.599612,-1.297777,1878.269963,222.035993,1:30,5.88722,0.79747,4.92383,-20.6843,15.60339,13.10457,3.59651,0.66244,81.87368,-4.418078,1.012185,0.433562,,,,,,,,,,,,-6.81906,8.19237,-0.68254,50.0,5.81205,2.31468,-129.21045,-2.11499,-11.62635,24.7749,-18.20628,FGCU,FAI_STA,SwansonStadium,D1,ASUN,20250214-SwansonStadium-1,4b0de700-eb2e-11ef-9e21-8be5a8f722aa,86.9367,,,7.12465,,,,,,,d265b4ba-4a13-4882-991f-8ca5b7697597,2025-02-14,23:49:12.62,2025-02-14T18:49:12.6288384-05:00,2025-02-14T23:49:12.6288384Z,,v3,4964,471291,14 February 2025 18:30-fairfield@flgulfcst,"Kuczik, JP",10033673.0,Right,FAI_STA,ec05cca7-3e35-42cd-b4b2-c5b51fdd66ea,55.57481,-130.27498,12.38745,5.88613,-1.3327,-9.10314,-0.79273,2.81424,-5.81318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,2025-02-15
24.0,2025-02-14,18:49:31.30,1.0,5.0,"Alekson, Ben",10138563.0,Right,FAI_STA,"Dempsey, Evan",1000115341.0,Left,FGCU,Undefined,1,Bottom,0,3,1,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.66123,-0.324729,-1.940402,1405.593941,243.010599,2:00,5.86788,0.82124,4.7297,-35.52317,8.45308,14.38914,2.59935,0.17866,75.36095,-6.721717,0.58804,0.477288,,,,,,,,,,,,-7.53028,4.56544,-0.63913,50.0,5.80345,3.36055,-117.22952,-1.98575,-10.70443,17.69262,-25.68421,FGCU,FAI_STA,SwansonStadium,D1,ASUN,20250214-SwansonStadium-1,564414a0-eb2e-11ef-9e21-8be5a8f722aa,78.97209,,,5.30028,,,,,,,d265b4ba-4a13-4882-991f-8ca5b7697597,2025-02-14,23:49:31.30,2025-02-14T18:49:31.3006080-05:00,2025-02-14T23:49:31.3006080Z,,v3,4964,471291,14 February 2025 18:30-fairfield@flgulfcst,"Kuczik, JP",10033673.0,Right,FAI_STA,08926e60-75c6-4b95-b8ec-de98306926b7,55.77117,-118.09731,8.84631,5.86995,-0.72599,-12.84211,-0.81683,3.88558,-5.35222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,2025-02-15
25.0,2025-02-14,18:49:46.38,1.0,6.0,"Alekson, Ben",10138563.0,Right,FAI_STA,"Dempsey, Evan",1000115341.0,Left,FGCU,Undefined,1,Bottom,0,3,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,81.61058,-1.923212,-1.550781,1448.922685,264.529247,2:45,5.75564,0.86375,4.884,-40.28439,3.08973,18.69379,0.57779,0.95408,75.56313,-9.165893,1.750674,0.474009,,,,,,,,,,,,-9.74697,2.3676,-0.72843,50.0,5.53255,2.42133,-118.42982,-5.47666,-13.9097,21.5976,-28.79527,FGCU,FAI_STA,SwansonStadium,D1,ASUN,20250214-SwansonStadium-1,5f349800-eb2e-11ef-9e21-8be5a8f722aa,79.51836,,,6.04745,,,,,,,d265b4ba-4a13-4882-991f-8ca5b7697597,2025-02-14,23:49:46.38,2025-02-14T18:49:46.3835648-05:00,2025-02-14T23:49:46.3835648Z,,v3,4964,471291,14 February 2025 18:30-fairfield@flgulfcst,"Kuczik, JP",10033673.0,Right,FAI_STA,4ff6953d-a827-4a92-8e01-50820774c871,55.61726,-119.44983,10.7988,5.75908,-4.11673,-14.39763,-0.8583,3.07825,-6.95485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,2025-02-15
26.0,2025-02-14,18:50:24.96,1.0,7.0,"Alekson, Ben",10138563.0,Right,FAI_STA,"Dempsey, Evan",1000115341.0,Left,FGCU,Undefined,1,Bottom,0,3,2,ChangeUp,Changeup,BallCalled,Walk,Undefined,Undefined,0,0,,81.96328,-2.869737,-3.342773,1690.405974,237.413383,2:00,5.82289,0.88,4.77065,-29.09214,14.39328,20.32064,0.67101,-0.59928,75.31544,-8.161736,0.227561,0.474617,,,,,,,,,,,,-10.95831,8.2665,-0.56409,50.0,5.50993,6.04726,-118.60979,-7.0015,-15.65026,22.14899,-20.36815,FGCU,FAI_STA,SwansonStadium,D1,ASUN,20250214-SwansonStadium-1,76336f40-eb2e-11ef-9e21-8be5a8f722aa,79.41655,,,6.64784,,,,,,,d265b4ba-4a13-4882-991f-8ca5b7697597,2025-02-14,23:50:24.96,2025-02-14T18:50:24.9657344-05:00,2025-02-14T23:50:24.9657344Z,,v3,4964,471291,14 February 2025 18:30-fairfield@flgulfcst,"Kuczik, JP",10033673.0,Right,FAI_STA,0686cb7f-acf2-47c0-87b2-ceaf91d3e3fd,55.72877,-119.67479,11.0745,5.82304,-6.02213,-10.18408,-0.87295,6.79978,-7.82513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,2025-02-15
27.0,2025-02-14,18:51:01.82,2.0,1.0,"Alekson, Ben",10138563.0,Right,FAI_STA,"Moise, Mac",1000051534.0,Right,FGCU,Undefined,1,Bottom,0,0,0,ChangeUp,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.85951,-0.834596,-1.737057,1948.588863,240.193968,2:00,5.88944,0.96196,4.62799,-44.15239,2.95894,2.57689,1.41635,-0.47493,72.59904,-8.76301,-1.284585,0.494008,,,,,,,,,,,,-1.74575,2.0963,-0.78622,50.0,5.76324,3.3574,-114.32351,-3.31316,-2.31172,20.96625,-29.39815,FGCU,FAI_STA,SwansonStadium,D1,ASUN,20250214-SwansonStadium-1,8c31c670-eb2e-11ef-9e21-8be5a8f722aa,76.29922,,,6.26047,,,,,,,d265b4ba-4a13-4882-991f-8ca5b7697597,2025-02-14,23:51:01.82,2025-02-14T18:51:01.8284544-05:00,2025-02-14T23:51:01.8284544Z,,v3,4964,471291,14 February 2025 18:30-fairfield@flgulfcst,"Kuczik, JP",10033673.0,Right,FAI_STA,369e7773-bd49-4247-9391-9ae3f6f84159,55.87041,-115.39508,10.48313,5.89418,-1.81063,-14.69908,-0.96083,3.47555,-1.15586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,2025-02-15
28.0,2025-02-14,18:51:37.77,2.0,2.0,"Alekson, Ben",10138563.0,Right,FAI_STA,"Moise, Mac",1000051534.0,Right,FGCU,Undefined,1,Bottom,0,0,1,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,89.63345,-2.358954,-2.671242,2112.186906,223.44873,1:30,5.80988,0.91374,4.74776,-19.30576,17.3506,15.22662,1.96005,-0.35272,81.32617,-5.945372,0.002083,0.435759,,,,,,,,,,,,-8.26083,9.58052,-0.65938,50.0,5.55631,5.30905,-129.66341,-6.0521,-13.97316,28.74117,-15.96868,FGCU,FAI_STA,SwansonStadium,D1,ASUN,20250214-SwansonStadium-1,a1978720-eb2e-11ef-9e21-8be5a8f722aa,86.49841,,,8.30728,,,,,,,d265b4ba-4a13-4882-991f-8ca5b7697597,2025-02-14,23:51:37.77,2025-02-14T18:51:37.7793024-05:00,2025-02-14T23:51:37.7793024Z,,v3,4964,471291,14 February 2025 18:30-fairfield@flgulfcst,"Kuczik, JP",10033673.0,Right,FAI_STA,11e559dc-1965-46ff-95b2-b2684f48c318,55.74886,-130.9315,14.37058,5.80779,-5.34755,-7.98434,-0.90722,5.92556,-6.98658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,2025-02-15
29.0,2025-02-14,18:51:59.49,2.0,3.0,"Alekson, Ben",10138563.0,Right,FAI_STA,"Moise, Mac",1000051534.0,Right,FGCU,Undefined,1,Bottom,0,0,2,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.66799,-0.872019,-3.247102,2071.39342,217.776392,1:15,5.72034,0.85983,4.9484,-16.67225,19.57804,14.22469,3.50559,-1.02636,81.35364,-4.014492,-0.743806,0.433338,,,,,,,,,,,,-7.9304,10.26268,-0.55681,50.0,5.62266,6.67854,-129.80356,-2.53611,-13.47976,28.11827,-14.73,FGCU,FAI_STA,SwansonStadium,D1,ASUN,20250214-SwansonStadium-1,ae7ff8a0-eb2e-11ef-9e21-8be5a8f722aa,86.98154,,,8.31436,,,,,,,d265b4ba-4a13-4882-991f-8ca5b7697597,2025-02-14,23:51:59.49,2025-02-14T18:51:59.4942464-05:00,2025-02-14T23:51:59.4942464Z,,v3,4964,471291,14 February 2025 18:30-fairfield@flgulfcst,"Kuczik, JP",10033673.0,Right,FAI_STA,db9fd9f3-9352-424b-98b1-57b19c36f447,55.54763,-130.99979,14.05914,5.71722,-1.90946,-7.365,-0.85313,7.252,-6.73988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,2025-02-15
