Pitcher,PitcherTeam,PitcherThrows,TaggedPitchType,pitch_count,avg_xRV,xRV+,SwStr%
"Albanese, Tyler",COT_KET,Right,ChangeUp,3,0.23478146871620917,98.91340795995545,0.0
"Albanese, Tyler",COT_KET,Right,Curveball,7,0.15966596024186114,102.07706697365629,14.29
"Albanese, Tyler",COT_KET,Right,Fastball,10,0.3686127318205433,92.99383717050203,10.0
"August, Tyler",HYA_HAR,Right,ChangeUp,14,0.13313309839486273,102.64797310207923,14.29
"August, Tyler",HYA_HAR,Right,Curveball,3,0.06797957606942504,104.90183950359621,33.33
"August, Tyler",HYA_HAR,Right,Cutter,6,0.09125904737024058,100.3128819147285,16.67
"August, Tyler",HYA_HAR,Right,Fastball,43,0.1888227602515913,99.80749515198673,9.3
"August, Tyler",HYA_HAR,Right,Slider,21,0.14295321103705266,100.63721042336658,0.0
"August, Tyler",HYA_HAR,Right,TwoSeamFastBall,1,-0.0141746432168346,107.53507982273294,0.0
"Bailey, Carson",BRE_WHI,Left,ChangeUp,2,0.2747632132054592,97.44447708758813,0.0
"Bailey, Carson",BRE_WHI,Left,Curveball,8,0.05681689315474675,105.2457514196612,0.0
"Bailey, Carson",BRE_WHI,Left,Fastball,24,0.09020350682767005,103.5449553526646,8.33
"Bailey, Carson",BRE_WHI,Left,Sinker,8,0.2067695318438018,98.0805785902168,0.0
"Bailey, Carson",BRE_WHI,Left,Slider,3,0.08704794861845111,102.7318243329803,0.0
"Barlow, Billy",BRE_WHI,Right,ChangeUp,9,0.6270897919319226,84.49998466340155,66.67
"Barlow, Billy",BRE_WHI,Right,Sinker,51,0.34092468949403776,92.86927385006959,5.88
"Barlow, Billy",BRE_WHI,Right,Slider,17,0.1462344058771425,100.51427322470461,11.76
"Bates, Zach",BRE_WHI,Left,ChangeUp,3,0.09371276911383115,104.09627755751295,0.0
"Bates, Zach",BRE_WHI,Left,Fastball,64,0.010621304346944669,106.56095176439419,3.12
"Bates, Zach",BRE_WHI,Left,Slider,18,0.4566346092069553,88.88444527446103,16.67
"Bauer, Douglas",BRE_WHI,Right,Fastball,54,0.023826027795888063,106.06052079743849,12.96
"Bauer, Douglas",BRE_WHI,Right,Slider,6,0.18331800728045355,99.12485434073027,0.0
"Bauer, Douglas",BRE_WHI,Right,Splitter,45,0.0727275736080083,102.56868246328477,15.56
"Baumler, Trever",FAL_COM,Right,ChangeUp,4,0.005574967358075084,107.33446387668248,0.0
"Baumler, Trever",FAL_COM,Right,Curveball,8,0.022200571114563302,106.31224822253176,12.5
"Baumler, Trever",FAL_COM,Right,Fastball,33,0.14644308085411736,101.41359497090025,9.09
"Baumler, Trever",FAL_COM,Right,Slider,7,0.30106599842499027,94.71316625609735,14.29
"Blanco, Evan",HYA_HAR,Left,ChangeUp,33,0.3165574035353884,95.90895688341755,15.15
"Blanco, Evan",HYA_HAR,Left,Fastball,30,0.4359888314045437,90.44042612824173,3.33
"Blanco, Evan",HYA_HAR,Left,Slider,5,0.2876732481288355,95.21495517264441,20.0
"Brittain, Nathan",BRE_WHI,Right,Cutter,6,0.056224505295614256,101.85767186811252,16.67
"Brittain, Nathan",BRE_WHI,Right,Fastball,1,0.1304243192950336,102.02067200416343,0.0
"Brittain, Nathan",BRE_WHI,Right,Sinker,78,0.26393908455627046,95.85980701303056,10.26
"Brittain, Nathan",BRE_WHI,Right,Slider,1,0.0899691694048397,102.62237435586711,0.0
"Carey, Tate",CHA_ANG,Right,ChangeUp,10,0.000629398937701664,107.51616425586539,20.0
"Carey, Tate",CHA_ANG,Right,Curveball,4,-0.025771085541350623,107.79021050843107,0.0
"Carey, Tate",CHA_ANG,Right,Fastball,56,0.09305843298592027,103.43675971619523,5.36
"Carey, Tate",CHA_ANG,Right,Slider,7,0.03935446384947418,104.5187658886255,14.29
"Carlon, Cole",COT_KET,Left,ChangeUp,2,0.05917679791423465,105.36513050403498,50.0
"Carlon, Cole",COT_KET,Left,Curveball,3,-0.3175692936347025,116.780242888349,0.0
"Carlon, Cole",COT_KET,Left,Fastball,15,0.15402610829117638,101.1262143402152,13.33
"Carlon, Cole",COT_KET,Left,Slider,8,-0.13072220411708216,110.89106321827667,37.5
"Collera, Lazaro",WAR_GAT,Right,ChangeUp,5,0.2873236515556134,96.98300608629229,0.0
"Collera, Lazaro",WAR_GAT,Right,Curveball,5,0.2970996601243924,97.84286204104544,0.0
"Collera, Lazaro",WAR_GAT,Right,Fastball,11,0.09499105230279939,103.36351754969,0.0
"Collera, Lazaro",WAR_GAT,Right,Sinker,3,0.2577199466519506,96.10139163346616,0.0
"Collera, Lazaro",WAR_GAT,Right,Slider,2,0.21537313330928903,97.92383837282955,0.0
"Coppersmith, Zane",COT_KET,Right,ChangeUp,2,-0.020086013916246176,108.27724934266497,0.0
"Coppersmith, Zane",COT_KET,Right,Curveball,2,0.08774216347363295,104.29297249980041,0.0
"Coppersmith, Zane",COT_KET,Right,Fastball,11,0.06124847510567593,104.64228954363779,9.09
"Coppersmith, Zane",COT_KET,Right,Slider,3,0.0443966689690335,104.32984855738262,33.33
"Davis, Chase",BRE_WHI,Left,ChangeUp,2,0.3215566727847834,95.72528353365445,50.0
"Davis, Chase",BRE_WHI,Left,Curveball,16,0.36099086238928413,95.87443330768765,6.25
"Davis, Chase",BRE_WHI,Left,Fastball,35,-0.0863741374714612,110.23687295480471,8.57
"Davis, Chase",BRE_WHI,Left,Sinker,1,0.0862202366389599,102.76335877195434,0.0
"Davis, Lance",BRE_WHI,Right,ChangeUp,11,0.13645118513313856,102.52606646420463,9.09
"Davis, Lance",BRE_WHI,Right,Curveball,10,-0.20374190695986566,113.27332658953182,10.0
"Davis, Lance",BRE_WHI,Right,Fastball,10,-0.009341448344464605,107.31749768306386,10.0
"Davis, Lance",BRE_WHI,Right,Sinker,41,-0.10852606916846044,110.32834817941591,4.88
"Davis, Lance",BRE_WHI,Right,Slider,32,-0.1025096460622257,109.83401753114607,6.25
"Dudan, Jacob",BRE_WHI,Right,ChangeUp,3,0.5834827099804503,86.10211057738194,0.0
"Dudan, Jacob",BRE_WHI,Right,Fastball,39,0.40058719448416585,91.78207296123898,15.38
"Dudan, Jacob",BRE_WHI,Right,Sinker,82,1.0080861852864598,66.9531486234026,6.1
"Dudan, Jacob",BRE_WHI,Right,Slider,20,0.6369663284691681,82.12791983893236,10.0
"Foster, Elijah",BRE_WHI,Right,ChangeUp,7,0.10258446132840912,103.77033123499471,14.29
"Foster, Elijah",BRE_WHI,Right,Fastball,5,0.3000941320965376,95.590546540972,0.0
"Foster, Elijah",BRE_WHI,Right,Sinker,29,0.007881436170278873,105.80645729586091,6.9
"Foster, Elijah",BRE_WHI,Right,Slider,13,0.18705857544921087,98.9847057075395,38.46
"Galle, Patrick",WAR_GAT,Right,Fastball,11,0.12767965206781762,102.1246890613777,9.09
"Galle, Patrick",WAR_GAT,Right,Slider,3,-0.152363444816364,111.70190001304202,0.0
"Garcia, Santiago",HYA_HAR,Right,Curveball,4,0.0067978749883129685,106.78679101639541,25.0
"Garcia, Santiago",HYA_HAR,Right,Fastball,3,0.20003545228858685,99.3825579437259,0.0
"Gillen, Michael",FAL_COM,Right,ChangeUp,4,0.07710165675359862,104.70657048199674,0.0
"Gillen, Michael",FAL_COM,Right,Fastball,9,0.04615969844451642,105.21412212490453,0.0
"Gillen, Michael",FAL_COM,Right,Sinker,15,0.14224388411117406,100.58710029076002,13.33
"Gillen, Michael",FAL_COM,Right,Slider,4,0.23113725853732225,97.33320066634158,0.0
"Gonzalez, Sebastian",ORL_FIR,Left,ChangeUp,6,0.5794281605445174,86.25107488386892,0.0
"Gonzalez, Sebastian",ORL_FIR,Left,Curveball,5,0.8250516168567298,81.57715151088921,0.0
"Gonzalez, Sebastian",ORL_FIR,Left,Fastball,31,0.4435530608780271,90.15375790044227,6.45
"Gonzalez, Sebastian",ORL_FIR,Left,Slider,2,-0.2095266506594665,113.84364554641482,0.0
"Gunther, Josh",BOU_BRA,Right,ChangeUp,2,0.10049246072533526,103.84719141981464,0.0
"Gunther, Josh",BOU_BRA,Right,Curveball,4,0.1958790462860855,100.96137535155358,0.0
"Gunther, Josh",BOU_BRA,Right,Cutter,18,-0.03531273922168732,105.89385465564773,5.56
"Gunther, Josh",BOU_BRA,Right,Fastball,29,-0.07050237593021749,109.63536690993477,6.9
"Halvorson, Wyatt",COT_KET,Right,Curveball,3,0.37565618112334764,95.42260842794451,0.0
"Halvorson, Wyatt",COT_KET,Right,Fastball,19,-0.05978490761262602,109.22919762859941,5.26
"Halvorson, Wyatt",COT_KET,Right,Slider,10,-0.04151402126935773,107.54868197257065,40.0
"Hamilton, Brady",YAR_RED,Right,ChangeUp,9,0.10133101960414861,103.81638273347234,11.11
"Hamilton, Brady",YAR_RED,Right,Fastball,22,0.19503905835301352,99.57191065967928,13.64
"Hamilton, Brady",YAR_RED,Right,Sinker,19,0.15097149941828086,100.24807297480184,5.26
"Hamilton, Brady",YAR_RED,Right,Slider,21,0.15149305336711927,100.3172464028683,9.52
"Hansen, Trevor",BRE_WHI,Right,ChangeUp,18,-0.0404229250191935,109.02442826017672,5.56
"Hansen, Trevor",BRE_WHI,Right,Curveball,7,0.14736702718847347,102.45598570352398,0.0
"Hansen, Trevor",BRE_WHI,Right,Fastball,20,0.0960192164011238,103.32455231456765,10.0
"Hays, James",COT_KET,Right,ChangeUp,8,-0.110782288299862,111.60943404727715,0.0
"Hays, James",COT_KET,Right,Curveball,11,0.19007390145910977,101.14022648400443,18.18
"Hays, James",COT_KET,Right,Cutter,1,-0.0095787546649434,104.75915734123387,0.0
"Hays, James",COT_KET,Right,Fastball,21,0.13718290473093117,101.76453597389998,14.29
"Hays, James",COT_KET,Right,FourSeamFastBall,18,0.37977345253999795,92.9520899930489,16.67
"Hays, James",COT_KET,Right,Slider,2,-0.07180108790210515,108.6834536971953,50.0
"Hays, James",COT_KET,Right,Splitter,4,-0.25692733332225315,115.1865572945365,0.0
"Jenkins, Matthew",BRE_WHI,Right,ChangeUp,3,0.5543631157176775,87.17196562122321,0.0
"Jenkins, Matthew",BRE_WHI,Right,Fastball,14,0.10168238057637569,103.10993042299923,7.14
"Johnston, Zach",FAL_COM,Left,Sinker,1,0.5417800111288418,85.06697755335757,0.0
"Johnston, Zach",FAL_COM,Left,Slider,4,0.17000075582652238,99.62381452670277,0.0
"Jones, Gavyn",CHA_ANG,Left,ChangeUp,3,0.03328393456838543,106.31643532648796,33.33
"Jones, Gavyn",CHA_ANG,Left,Cutter,6,-0.02115526489833268,105.26960433567994,16.67
"Jones, Gavyn",CHA_ANG,Left,Fastball,4,0.06554333492260142,104.47952348046095,0.0
"Jones, Gavyn",CHA_ANG,Left,Sinker,23,0.356223045731594,92.2750037692644,8.7
"Kipp, Kyle",BRE_WHI,Right,ChangeUp,43,0.5054309002150768,88.96973715228853,27.91
"Kipp, Kyle",BRE_WHI,Right,Fastball,5,-0.1487539477623031,112.60093524683688,0.0
"Kipp, Kyle",BRE_WHI,Right,Sinker,36,0.2412881018440259,96.73969248031214,5.56
"Kipp, Kyle",BRE_WHI,Right,Slider,3,0.2059378829295865,98.27735082999384,0.0
"Knier, Chris",BRE_WHI,Right,Curveball,2,-0.14936797437202812,111.5981161152038,0.0
"Knier, Chris",BRE_WHI,Right,Fastball,26,0.0324023819800188,105.735495193236,7.69
"Knier, Chris",BRE_WHI,Right,Slider,1,-0.2357288259338693,114.82536781042909,0.0
"Koch, Mason",ORL_FIR,Right,Curveball,1,0.1243536255463265,103.16500728143842,0.0
"Koch, Mason",ORL_FIR,Right,Cutter,9,-0.022570008134898782,105.33198508933187,22.22
"Koch, Mason",ORL_FIR,Right,Fastball,22,-0.07793316732087546,109.9169781178674,9.09
