Pitcher,PitcherTeam,PitcherThrows,AutoPitchType,pitch_count,avg_xRV,xRV+,SwStr%
"Barrett, Easton",ARI_SUN,Left,Changeup,59,0.1888604812893376,100.42183688564305,10.17
"Barrett, Easton",ARI_SUN,Left,Curveball,108,0.2674637914249799,99.46592227825958,12.04
"Barrett, Easton",ARI_SUN,Left,Cutter,4,-0.1077184415859038,110.38107754951764,0.0
"Barrett, Easton",ARI_SUN,Left,Four-Seam,300,0.013054627095670323,106.10666343890094,8.33
"Barrett, Easton",ARI_SUN,Left,Slider,96,0.07281478943631754,101.23380568835141,14.58
"Baumler, Trever",TCU_HFG,Right,Changeup,137,-0.06533842726724072,110.12984660717856,10.95
"Baumler, Trever",TCU_HFG,Right,Curveball,129,0.010995982542946663,107.8740107230781,6.98
"Baumler, Trever",TCU_HFG,Right,Cutter,5,-0.07814552807427214,109.30309366910024,20.0
"Baumler, Trever",TCU_HFG,Right,Four-Seam,297,0.10973513371536323,102.66764387595852,9.43
"Baumler, Trever",TCU_HFG,Right,Sinker,19,0.15548233378584725,100.76567153133033,5.26
"Baumler, Trever",TCU_HFG,Right,Slider,55,-0.002693166183045279,104.36381902610233,7.27
"Berg, Jack",ARI_WIL,Left,Changeup,35,0.14746808968602673,102.0026373004218,31.43
"Berg, Jack",ARI_WIL,Left,Curveball,22,0.6004793448783343,88.5482783090552,36.36
"Berg, Jack",ARI_WIL,Left,Sinker,99,0.26212928392888096,96.34233371121316,17.17
"Berg, Jack",ARI_WIL,Left,Slider,19,0.44387763909058925,85.85222557490563,0.0
"Coats, TJ",NEB,Right,Changeup,18,0.2185176765833836,99.28921069986225,5.56
"Coats, TJ",NEB,Right,Curveball,51,0.2532008481255169,99.93352126960308,11.76
"Coats, TJ",NEB,Right,Four-Seam,146,-0.013872596815085538,107.06449095804179,5.48
"Coats, TJ",NEB,Right,Sinker,4,0.0726509797411315,104.20122276412326,0.0
"Coats, TJ",NEB,Right,Slider,42,0.00046755650190515523,104.2327983398756,21.43
"Echeman, Kaden",NOK_NOR,Right,Changeup,16,0.38130337916886403,93.07232648033347,0.0
"Echeman, Kaden",NOK_NOR,Right,Curveball,71,0.4959992791797781,91.97357225508016,8.45
"Echeman, Kaden",NOK_NOR,Right,Cutter,10,-0.04978223225903986,108.26920244724597,0.0
"Echeman, Kaden",NOK_NOR,Right,Four-Seam,195,0.32844640857199064,94.88787131201532,17.95
"Echeman, Kaden",NOK_NOR,Right,Slider,52,0.1654140952821221,97.39530867189237,7.69
"Estridge, Carson",WES_MOU,Right,Changeup,135,0.0746006920766357,104.78548718908492,13.33
"Estridge, Carson",WES_MOU,Right,Curveball,101,0.4899205295110902,92.17285911712742,19.8
"Estridge, Carson",WES_MOU,Right,Cutter,48,0.3427413485297268,93.96103857263874,14.58
"Estridge, Carson",WES_MOU,Right,Four-Seam,225,0.34508577385000877,94.29599292094373,8.89
"Estridge, Carson",WES_MOU,Right,Other,1,1.604936601509186,90.91094159429576,0.0
"Estridge, Carson",WES_MOU,Right,Sinker,4,0.6064997977007576,82.0590643288508,25.0
"Estridge, Carson",WES_MOU,Right,Slider,137,0.16899683518158204,97.24679420637655,10.22
"Estridge, Carson",WES_MOU,Right,Splitter,1,0.1613334835419353,97.43163262474951,0.0
"Gillen, Michael",CLE_TIG,Right,Changeup,2,-0.0012997795597179986,107.6841720052349,0.0
"Gillen, Michael",CLE_TIG,Right,Curveball,1,-0.0107282858647058,108.58622318735091,0.0
"Gillen, Michael",CLE_TIG,Right,Four-Seam,17,-0.12221490843851204,110.9183322565055,5.88
"Gillen, Michael",CLE_TIG,Right,Sinker,4,0.2973316133272214,94.88226575075988,25.0
"Gillen, Michael",CLE_TIG,Right,Slider,11,0.12863418458741235,98.9199375681647,0.0
"Heuer, Mac",TEX_RAI,Right,Changeup,80,-0.0055254293668629325,107.84555212146162,25.0
"Heuer, Mac",TEX_RAI,Right,Curveball,39,0.12149018676854431,104.25154813871535,12.82
"Heuer, Mac",TEX_RAI,Right,Cutter,28,0.2878377103559925,95.96237120779747,10.71
"Heuer, Mac",TEX_RAI,Right,Four-Seam,627,0.15112021382992397,101.19553636324383,7.5
"Heuer, Mac",TEX_RAI,Right,Sinker,23,0.031818178339232055,105.89482276393679,8.7
"Heuer, Mac",TEX_RAI,Right,Slider,222,0.049299456119758264,102.20858121125822,14.41
"Kircher, Jackson",OKL_SOO,Right,Changeup,1,0.3051169508276703,95.98193215561022,0.0
"Kircher, Jackson",OKL_SOO,Right,Curveball,43,0.4705162537892635,92.80901250880633,0.0
"Kircher, Jackson",OKL_SOO,Right,Cutter,2,-0.1561364326634245,112.14599712307378,0.0
"Kircher, Jackson",OKL_SOO,Right,Four-Seam,158,-0.0004123724208017649,106.5856976973111,15.82
"Kircher, Jackson",OKL_SOO,Right,Sinker,1,1.798826540307844,32.60557346542231,0.0
"Kircher, Jackson",OKL_SOO,Right,Slider,12,0.22542159192796782,94.90783217586103,0.0
"Linn, Connor",NOK_NOR,Left,Changeup,51,0.1108441777159913,103.40132660032738,9.8
"Linn, Connor",NOK_NOR,Left,Curveball,26,0.35200684359688583,96.69424709939433,7.69
"Linn, Connor",NOK_NOR,Left,Four-Seam,96,0.31339355831593085,95.42331582217149,13.54
"Linn, Connor",NOK_NOR,Left,Sinker,35,0.1264337064497257,101.97050572251932,11.43
"Linn, Connor",NOK_NOR,Left,Slider,49,0.2999792063779614,91.8172131047293,14.29
"Porco, Robby",WES_MOU,Right,Changeup,60,0.007316276973534428,107.3551196066189,10.0
"Porco, Robby",WES_MOU,Right,Curveball,21,0.15590203380228834,103.12338373215479,14.29
"Porco, Robby",WES_MOU,Right,Cutter,12,0.07276898602260895,103.80199843702316,8.33
"Porco, Robby",WES_MOU,Right,Four-Seam,282,0.11761906747224572,102.3872046915683,13.48
"Porco, Robby",WES_MOU,Right,Sinker,13,-0.04075536856942142,108.90491648298406,7.69
"Porco, Robby",WES_MOU,Right,Slider,146,0.19781573431445607,96.05217123022405,10.27
"Richardson, Cole",SOU_GOL,Right,Changeup,18,0.09884601835293312,103.85954354704246,11.11
"Richardson, Cole",SOU_GOL,Right,Curveball,5,0.961741289947877,76.70459937276794,0.0
"Richardson, Cole",SOU_GOL,Right,Sinker,28,0.22222217045172005,97.99753945407296,0.0
"Saunier, Grayson",TEX_LON,Right,Changeup,3,-0.11597569800269053,112.06371453510617,0.0
"Saunier, Grayson",TEX_LON,Right,Curveball,17,0.2501844975358645,100.03240986949767,5.88
"Saunier, Grayson",TEX_LON,Right,Cutter,37,-0.10953003121510792,110.44711312688628,5.41
"Saunier, Grayson",TEX_LON,Right,Four-Seam,12,-0.1179501846796842,110.76663188845873,8.33
"Saunier, Grayson",TEX_LON,Right,Sinker,94,-0.0016390231838229487,107.28250900019319,7.45
"Saunier, Grayson",TEX_LON,Right,Slider,191,-0.04178008627255448,105.98407983449317,12.04
"Saunier, Grayson",TEX_LON,Right,Splitter,65,-0.07221256474314602,106.90826536582144,9.23
"Stiffler, Mac",WES_MOU,Right,Changeup,17,0.43431124334687266,91.04792415823064,5.88
"Stiffler, Mac",WES_MOU,Right,Curveball,37,-0.0019877074014742913,108.29967043401284,10.81
"Stiffler, Mac",WES_MOU,Right,Four-Seam,131,0.1663453972410618,100.6539617953089,10.69
"Stiffler, Mac",WES_MOU,Right,Sinker,16,0.05363760622914603,104.98983016481107,6.25
"Stiffler, Mac",WES_MOU,Right,Slider,71,0.010804946309418568,103.80428497714921,16.9
"Vanesko, Jackson",BRY_BUL,Left,Changeup,220,0.35308436574561763,94.15002763255555,10.91
"Vanesko, Jackson",BRY_BUL,Left,Curveball,18,0.1640799882822132,102.85527614834284,5.56
"Vanesko, Jackson",BRY_BUL,Left,Cutter,19,0.30669639343375854,95.2749395702033,15.79
"Vanesko, Jackson",BRY_BUL,Left,Four-Seam,174,0.44039938940869905,90.9055950012214,5.17
"Vanesko, Jackson",BRY_BUL,Left,Sinker,27,0.32674866775029043,93.66215050872542,0.0
"Vanesko, Jackson",BRY_BUL,Left,Slider,115,0.16948066022317912,97.22673832192152,15.65
