Pitcher,PitcherTeam,PitcherThrows,AutoPitchType,pitch_count,avg_xRV,xRV+,SwStr%
"Bayer, Tyler",KEN_OWL,Right,Changeup,16,0.029741386728729273,106.4986911319802,18.75
"Bayer, Tyler",KEN_OWL,Right,Curveball,134,0.06108860768213292,106.23176476465005,9.7
"Bayer, Tyler",KEN_OWL,Right,Four-Seam,258,0.1412036601541217,101.54827781320543,5.81
"Bayer, Tyler",KEN_OWL,Right,Sinker,203,0.17492599375740972,99.9592173720847,5.42
"Bayer, Tyler",KEN_OWL,Right,Slider,91,-0.033781765658671095,105.65252735110634,19.78
"Catalano, Michael",OKL_SOO,Right,Curveball,44,0.12284127196365055,104.20725390987447,15.91
"Catalano, Michael",OKL_SOO,Right,Cutter,45,-0.15485528069637866,112.09929691653858,22.22
"Catalano, Michael",OKL_SOO,Right,Four-Seam,170,-0.06073080392291303,108.73128291603305,11.18
"Catalano, Michael",OKL_SOO,Right,Slider,70,0.059276613052021664,101.79500049629034,8.57
"Eudy, Kade",TCU_HFG,Right,Changeup,4,0.09169151533699216,104.13277833481517,0.0
"Eudy, Kade",TCU_HFG,Right,Cutter,8,0.04507626875403109,104.81144591025716,0.0
"Eudy, Kade",TCU_HFG,Right,Four-Seam,47,0.11712082339740885,102.40492771744385,0.0
"Eudy, Kade",TCU_HFG,Right,Sinker,112,0.13153007928589214,101.75912622520227,6.25
"Eudy, Kade",TCU_HFG,Right,Slider,154,0.0318316204160441,102.9326712529736,20.13
"Frederick, Brady",ETS_BUC,Right,Changeup,253,0.08510534253993461,104.38430824855324,15.42
"Frederick, Brady",ETS_BUC,Right,Curveball,67,-0.08698672369049712,111.08629402547264,8.96
"Frederick, Brady",ETS_BUC,Right,Four-Seam,13,-0.025423525164373326,107.47536870322786,7.69
"Frederick, Brady",ETS_BUC,Right,Sinker,1,0.4189727806870204,89.8370208999305,0.0
"Frederick, Brady",ETS_BUC,Right,Slider,385,-0.020796894332955944,105.1142685662526,12.21
"Hawk, Easton",UCLA,Right,Changeup,9,-0.0019522931657260324,107.70909189362675,0.0
"Hawk, Easton",UCLA,Right,Curveball,22,0.16396709171674798,102.8589773703858,13.64
"Hawk, Easton",UCLA,Right,Cutter,1,0.0465532878864378,104.75760600655012,0.0
"Hawk, Easton",UCLA,Right,Four-Seam,98,0.08385631705802304,103.5881785303794,13.27
"Hawk, Easton",UCLA,Right,Sinker,53,-0.009854341030171842,107.62325129132577,11.32
"Hawk, Easton",UCLA,Right,Slider,57,0.027417545730791408,103.11564684177536,21.05
"Hetzler, Ryan",AUB_TIG,Right,Changeup,45,-0.04971756525451267,109.5332764600468,11.11
"Hetzler, Ryan",AUB_TIG,Right,Curveball,44,0.30587427065858486,98.20666596842553,11.36
"Hetzler, Ryan",AUB_TIG,Right,Four-Seam,137,0.1676325731926553,100.60817569598807,6.57
"Hetzler, Ryan",AUB_TIG,Right,Slider,145,0.02459137242079383,103.23279953227701,13.79
